City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Port Hardy,CA,2022-03-30 13:11:05,50.6996,-127.4199,40.15,86,100,4.79,overcast clouds
82,Atlantic City,US,2022-03-30 13:07:55,39.3643,-74.4229,36.18,48,0,6.91,clear sky
83,Bhadrachalam,IN,2022-03-30 13:11:06,17.6667,80.8833,97.56,20,4,4.54,clear sky
84,Nikolayevsk-Na-Amure,RU,2022-03-30 13:11:06,53.1406,140.73,5.63,94,49,4.18,scattered clouds
85,Bredasdorp,ZA,2022-03-30 13:11:07,-34.5322,20.0403,76.5,35,2,20.71,clear sky
86,Aba,NG,2022-03-30 13:11:07,5.1066,7.3667,99.28,33,61,2.98,broken clouds
87,Alice Springs,AU,2022-03-30 13:11:08,-23.7,133.8833,76.55,32,13,12.66,few clouds
88,Kedgwick,CA,2022-03-30 13:11:08,47.6446,-67.3434,20.53,83,89,11.14,overcast clouds
89,San Patricio,US,2022-03-30 13:11:08,28.017,-97.5169,74.89,84,62,11.18,broken clouds
90,Husavik,IS,2022-03-30 13:11:09,66.0449,-17.3389,30.81,59,27,5.1,scattered clouds
91,Kisangani,CD,2022-03-30 13:12:09,0.5167,25.2,80.92,62,100,4.34,overcast clouds
92,Sorland,NO,2022-03-30 13:12:10,67.667,12.6934,34.47,67,100,26.4,light snow
93,Plettenberg Bay,ZA,2022-03-30 13:12:10,-34.0527,23.3716,69.26,68,94,4.81,overcast clouds
94,Chara,RU,2022-03-30 13:12:11,56.9064,118.2631,7.5,73,27,3.94,scattered clouds
95,Masuda,JP,2022-03-30 13:12:11,34.6667,131.85,59.34,96,97,3.87,light rain
96,Clyde River,CA,2022-03-30 13:12:11,70.4692,-68.5914,3.43,85,100,11.5,light snow
97,Hermanus,ZA,2022-03-30 13:12:12,-34.4187,19.2345,69.24,59,3,23.26,clear sky
98,Flinders,AU,2022-03-30 13:12:12,-34.5833,150.8552,66.38,94,100,7.0,light rain
99,Albany,US,2022-03-30 13:10:42,42.6001,-73.9662,31.17,49,100,1.99,overcast clouds
100,Elk Grove,US,2022-03-30 13:12:13,38.4088,-121.3716,51.87,91,100,9.22,overcast clouds
101,Pauini,BR,2022-03-30 13:12:13,-7.7136,-66.9764,73.33,96,100,2.57,overcast clouds
102,Atuona,PF,2022-03-30 13:12:01,-9.8,-139.0333,78.13,82,70,14.58,light rain
103,Anadyr,RU,2022-03-30 13:12:13,64.75,177.4833,-10.7,77,0,6.71,clear sky
104,Salamanca,ES,2022-03-30 13:12:14,40.8333,-6.0,53.38,72,100,11.45,overcast clouds
105,Labuhan,ID,2022-03-30 13:12:15,-6.8844,112.2051,81.16,80,34,2.48,scattered clouds
106,Upernavik,GL,2022-03-30 13:12:15,72.7868,-56.1549,12.72,90,45,9.78,scattered clouds
107,Huarmey,PE,2022-03-30 13:12:15,-10.0681,-78.1522,70.81,83,100,7.52,overcast clouds
108,Panguna,PG,2022-03-30 13:12:16,-6.3164,155.4848,69.4,96,45,2.1,scattered clouds
109,Shingu,JP,2022-03-30 13:12:17,33.7333,135.9833,55.69,92,100,4.97,overcast clouds
110,Georgetown,MY,2022-03-30 13:11:30,5.4112,100.3354,85.95,74,20,0.0,few clouds
111,Puerto Ayacucho,VE,2022-03-30 13:12:17,5.6639,-67.6236,80.33,70,100,2.15,overcast clouds
112,Rock Sound,BS,2022-03-30 13:12:18,24.9,-76.2,74.7,69,0,19.3,clear sky
113,Hithadhoo,MV,2022-03-30 13:12:18,-0.6,73.0833,83.14,66,3,4.5,clear sky
114,Yashan,CN,2022-03-30 13:12:19,22.1975,109.9419,73.74,90,67,5.84,broken clouds
115,Huancabamba,PE,2022-03-30 13:12:19,-5.2386,-79.4506,63.39,82,55,0.87,broken clouds
116,Cap Malheureux,MU,2022-03-30 13:12:19,-19.9842,57.6142,79.47,77,72,5.01,broken clouds
117,Smolenka,RU,2022-03-30 13:12:20,52.1352,113.4974,14.07,52,0,6.71,clear sky
