City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
114,Yashan,CN,73.74,broken clouds,22.1975,109.9419,Rongshun Business Hotel
116,Cap Malheureux,MU,79.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
121,Nuevo Progreso,MX,73.89,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
124,Marsh Harbour,BS,74.19,clear sky,26.5412,-77.0636,Abaco Beach Resort
128,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
129,Esmeraldas,BR,78.12,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
130,Carnarvon,AU,78.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
131,Vung Tau,VN,76.96,heavy intensity rain,10.346,107.0843,Seaside Resort
138,Meulaboh,ID,79.18,overcast clouds,4.1363,96.1285,Kost Pria
140,Butaritari,KI,81.27,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
141,Arraial Do Cabo,BR,77.67,clear sky,-22.9661,-42.0278,Pousada Porto Praia
142,Lorengau,PG,82.38,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
145,Msowero,TZ,72.79,moderate rain,-6.5333,37.2,
146,Conde,BR,82.62,overcast clouds,-7.2597,-34.9075,Pousada Beija Flor
150,Namatanai,PG,80.55,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
151,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
156,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
157,Grand Gaube,MU,79.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
159,Banjar,ID,78.84,light rain,-8.19,114.9675,The Hamsa Resort
164,Faanui,PF,81.66,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
168,Buala,SB,80.96,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
169,Puerto Leguizamo,CO,73.04,overcast clouds,-0.1934,-74.7819,la casona de juancho
170,Harper,LR,84.45,light rain,4.375,-7.7169,Screensaver
171,Faya,SA,73.92,clear sky,18.3851,42.4509,املاك خالد الشعشوع
179,Carmen,MX,77.04,clear sky,18.6333,-91.8333,Hotel Lossandes
182,Souillac,MU,77.83,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
184,Dingle,PH,79.39,few clouds,10.9995,122.6711,SEGAYA PROPERTY
187,Salvador,SV,73.06,overcast clouds,13.8333,-88.9167,Chico's Ranch
193,Kahului,US,75.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
195,Bengkulu,ID,80.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
197,Saint-Pierre,RE,82.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
198,Wanning,CN,75.56,clear sky,18.8003,110.3967,Paradise Hotel
200,Villa Bruzual,VE,84.04,overcast clouds,9.3328,-69.1208,hotel italia
205,Gushikawa,JP,72.63,broken clouds,26.3544,127.8686,Kirari Guest House
207,Mahibadhoo,MV,83.25,few clouds,3.7833,72.9667,Omadhoo Inn
209,Houma,US,73.99,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
210,Victoria,HK,76.17,clear sky,22.2855,114.1577,Mini Hotel Central
211,Tautira,PF,81.19,light rain,-17.7333,-149.15,Pension Oaoa
215,Jutai,BR,75.33,overcast clouds,-5.1833,-68.9,
219,Geraldton,AU,75.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
223,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
225,Brenham,US,71.06,heavy intensity rain,30.1669,-96.3977,Hampton Inn & Suites Brenham
233,Bambous Virieux,MU,79.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
238,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
243,Bahia De Caraquez,EC,75.38,overcast clouds,-0.6,-80.4167,Saiananda Eco-Hotel
244,Samarai,PG,82.38,broken clouds,-10.6167,150.6667,Nuli Sapi
245,Hervey Bay,AU,74.73,clear sky,-25.2986,152.8535,Shelly Bay Resort
246,Lima,PE,72.9,clear sky,-12.0432,-77.0282,Hotel Kamana
247,Hualmay,PE,70.05,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
248,Praia,CV,72.72,overcast clouds,14.9215,-23.5087,LT Aparthotel
249,Sao Filipe,CV,73.15,clear sky,14.8961,-24.4956,Hotel Xaguate
255,East London,ZA,74.34,clear sky,-33.0153,27.9116,Tu Casa
259,Ariquemes,BR,72.84,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
264,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
265,Puerto Santander,CO,78.21,overcast clouds,8.3636,-72.4063,Hotel Toronto
269,Mumford,GH,84.96,broken clouds,5.2618,-0.759,Spanish Villa
271,Port Elizabeth,ZA,72.1,clear sky,-33.918,25.5701,39 On Nile Guest House
277,Pringsewu,ID,74.41,broken clouds,-5.3582,104.9744,Urban Style by Front One
279,Abu Dhabi,AE,78.91,clear sky,24.4667,54.3667,Beach Rotana
281,Kudahuvadhoo,MV,82.62,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
283,Campoverde,PE,78.49,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
285,Dwarka,IN,81.1,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
286,Martapura,ID,80.69,light rain,-3.4167,114.85,Montana Hotel Syariah
292,Katherine,AU,77.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
295,Tezu,IN,77.52,overcast clouds,27.9167,96.1667,Circuit House
308,Kavaratti,IN,83.82,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
309,Namibe,AO,77.63,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
313,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
315,Gizo,SB,84.34,overcast clouds,-8.103,156.8419,Imagination Island
318,Jaciara,BR,77.4,overcast clouds,-15.9653,-54.9683,Taba Hotel
320,Hambantota,LK,82.36,scattered clouds,6.1241,81.1185,Bungalow 63
325,Sola,VU,82.18,overcast clouds,-13.8833,167.55,Leumerus Bungalows
329,Shenzhen,CN,76.86,clear sky,22.5455,114.0683,Grand Skylight
335,Correntina,BR,83.82,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
336,Saint-Joseph,RE,79.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
340,Sao Joao Da Barra,BR,82.49,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
343,Beaufort,MY,77.2,broken clouds,5.3473,115.7455,The Gem Hotel Beaufort
344,Kanchanaburi,TH,81.88,broken clouds,14.6333,99.1,แพบุญศรี
347,Banda Aceh,ID,80.37,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
352,Kupang,ID,78.58,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
355,Pochutla,MX,70.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
358,Gat,IL,75.4,scattered clouds,31.61,34.7642,OlusHome
359,Mount Isa,AU,78.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
360,Padang,ID,78.85,few clouds,-0.9492,100.3543,Mercure Padang
361,Port Blair,IN,83.39,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
371,Ewa Beach,US,73.69,clear sky,21.3156,-158.0072,Base Lodging
374,Abu Kamal,SY,80.87,overcast clouds,34.4506,40.9171,محطة التلفاز
379,Ajdabiya,LY,75.11,few clouds,30.7554,20.2263,Almadina Hotel
380,Manokwari,ID,79.81,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
385,Puerto Colombia,CO,78.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
387,Puerto Gaitan,CO,78.96,scattered clouds,4.3133,-72.0816,Brisas del Yucao
389,Mozarlandia,BR,82.09,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
391,Mega,ET,78.58,broken clouds,4.05,38.3,Amanuel Guest House
393,Paracuru,BR,83.1,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
401,Cayenne,GF,84.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
404,Gelemso,ET,80.62,few clouds,8.8167,40.5167,Colele kebeber
405,Ca Mau,VN,80.46,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
412,Sungairaya,ID,80.67,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
415,Mtwara,TZ,81.82,light rain,-10.2667,40.1833,TIL Hotels Mtwara
429,Houston,US,74.17,haze,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
430,Acarau,BR,82.9,broken clouds,-2.8856,-40.12,castelo pizzaria
431,Majene,ID,79.52,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
435,Yeppoon,AU,74.98,clear sky,-23.1333,150.7333,Villa Mar Colina
438,Mananjary,MG,77.38,moderate rain,-21.2167,48.3333,Vahiny Lodge
